Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;;
diarrhoea;;;C2;noun;body and health;Details;;
diagnosis;;;C2;noun;body and health;Details;;
labour;;BIRTH;C2;noun;body and health;Details;;
immune system;;;C2;noun;body and health;Details;;
attack;;DISEASE;C2;verb;body and health;Details;;
diagnose;;;C2;verb;body and health;Details;;
infect;;PLACE/SUBSTANCE;C2;verb;body and health;Details;;
conceive;;BABY;C2;verb;body and health;Details;;
neck;;PART OF CLOTHING;C2;noun;clothes;Details;;
channel;;COMMUNICATION;C2;noun;communication;Details;;
cliche;;;C2;noun;communication;Details;;
groan;;;C2;noun;communication;Details;;
label;;WORD;C2;noun;communication;Details;;
margin;;OUTER PART;C2;noun;communication;Details;;
motion;;SUGGESTION;C2;noun;communication;Details;;
dialect;;;C2;noun;communication;Details;;
dialogue;;DISCUSSION;C2;noun;communication;Details;;
dispute;;DISAGREEMENT;C2;noun;communication;Details;;
implication;;SUGGESTION;C2;noun;communication;Details;;
metaphor;;;C2;noun;communication;Details;;
moan;;COMPLAIN;C2;verb;communication;Details;;
allege;;;C2;verb;communication;Details;;
condemn;;;C2;verb;communication;Details;;
imply;;NOT DIRECT;C2;verb;communication;Details;;
introduce;;TO AN AUDIENCE;C2;verb;communication;Details;;
maintain;;SAY SOMETHING IS TRUE;C2;verb;communication;Details;;
bark;;SHOUT;C2;verb;communication;Details;;
exclaim;;;C2;verb;communication;Details;;
lobby;;;C2;verb;communication;Details;;
massacre;;;C2;noun;crime;Details;;
custody;;PRISON;C2;noun;crime;Details;;
convict;;;C2;verb;crime;Details;;
acre;;;C2;noun;describing things;Details;;
fake;;COPY;C2;noun;describing things;Details;;
instruct;;TEACH;C2;verb;education;Details;;
casserole;;CONTAINER;C2;noun;food and drink;Details;;
core;;FRUIT;C2;noun;food and drink;Details;;
dash;;AMOUNT;C2;noun;food and drink;Details;;
dice;;;C2;verb;food and drink;Details;;
balcony;;THEATRE;C2;noun;homes and buildings;Details;;
doorway;;;C2;noun;homes and buildings;Details;;
loft;;;C2;noun;homes and buildings;Details;;
flesh;;BODY;C2;noun;homes and buildings;Details;;
bid;;BUY;C2;noun;money;Details;;
legacy;;MONEY/PROPERTY;C2;noun;money;Details;;
disposable income;;;C2;noun;money;Details;;
means;;MONEY;C2;noun;money;Details;;
bed;;BOTTOM;C2;noun;natural world;Details;;
astronomy;;;C2;noun;natural world;Details;;
coral;;;C2;noun;natural world;Details;;
hail;;;C2;noun;natural world;Details;;
coastline;;;C2;noun;natural world;Details;;
break;;STORM;C2;verb;natural world;Details;;
erupt;;;C2;verb;natural world;Details;;
move;;CHANGE OF POSITION;C2;noun;people: actions;Details;;
gaze;;;C2;noun;people: actions;Details;;
cling;;HOLD TIGHT;C2;verb;people: actions;Details;;
giggle;;;C2;verb;people: actions;Details;;
glare;;;C2;verb;people: actions;Details;;
grin;;SMILE;C2;verb;people: actions;Details;;
clutch;;;C2;verb;people: actions;Details;;
force;;USE POWER;C2;verb;people: actions;Details;;
haul;;;C2;verb;people: actions;Details;;
initiate;;;C2;verb;people: actions;Details;;
mount;;RIDE;C2;verb;people: actions;Details;;
blow;;SOUND;C2;verb;people: actions;Details;;
carve;;;C2;verb;people: actions;Details;;
form;;SHAPE;C2;verb;people: actions;Details;;
merge;;;C2;verb;people: actions;Details;;
adolescent;;;C2;noun;people: appearance;Details;;
fringe;;HAIR;C2;noun;people: appearance;Details;;
fanatic;;;C2;noun;people: personality;Details;;
charisma;;;C2;noun;people: personality;Details;;
dignity;;;C2;noun;people: personality;Details;;
diplomacy;;PEOPLE;C2;noun;people: personality;Details;;
empathy;;;C2;noun;people: personality;Details;;
hypocrisy;;;C2;noun;people: personality;Details;;
mercy;;KINDNESS;C2;noun;people: personality;Details;;
chancellor;;MONEY;C2;noun;politics;Details;;
coup;;;C2;noun;politics;Details;;
delegation;;;C2;noun;politics;Details;;
centre;;POLITICAL;C2;noun;politics;Details;;
bond;;;C2;verb;relationships;Details;;
favourite;;LIKELY TO WIN;C2;noun;shopping;Details;;
foul;;;C2;noun;shopping;Details;;
cookie;;;C2;noun;technology;Details;;
go;;WORKING;C2;verb;technology;Details;;
cabin;;SHIP;C2;noun;travel;Details;;
carriage;;WITH HORSE;C2;noun;travel;Details;;
accelerate;;VEHICLE;C2;verb;travel;Details;;
divert;;CHANGE ROUTE;C2;verb;travel;Details;;
fly;;TAKE/SEND;C2;verb;travel;Details;;
career;;TIME;C2;noun;work;Details;;
developer;;LAND;C2;noun;work;Details;;
giant;;ORGANIZATION;C2;noun;work;Details;;
leave;;;C2;noun;work;Details;;
abuse;;LANGUAGE;C2;noun;communication;Details;;
indifference;;;C2;noun;;Details;;
interference;;ELECTRONIC SIGNAL;C2;noun;;Details;;
inhibition;;;C2;noun;;Details;;
intrusion;;;C2;noun;;Details;;
intervention;;;C2;noun;;Details;;
impossibility;;;C2;noun;;Details;;
inferiority;;;C2;noun;;Details;;
insecurity;;;C2;noun;;Details;;
inequality;;;C2;noun;;Details;;
discomfort;;PAIN;C2;noun;;Details;;
disorder;;NOT ORGANIZED;C2;noun;;Details;;
discriminate;;NOTICE;C2;verb;;Details;;
discourage;;PREVENT;C2;verb;;Details;;
disqualify;;;C2;verb;;Details;;
inferior;;;C2;noun;;Details;;
influx;;;C2;noun;;Details;;
intrude;;;C2;verb;;Details;;
inherit;;QUALITY;C2;verb;;Details;;
invade;;BECOME INVOLVED;C2;verb;;Details;;
interval;;TIME;C2;noun;;Details;;
misplace;;;C2;verb;;Details;;
arrival;;BECOME AVAILABLE;C2;noun;;Details;;
alliance;;;C2;noun;;Details;;
disturbance;;FIGHTING;C2;noun;;Details;;
dominance;;;C2;noun;;Details;;
endurance;;;C2;noun;;Details;;
inheritance;;;C2;noun;;Details;;
difference;;DISAGREEMENT;C2;noun;;Details;;
confidence;;TRUST;C2;noun;;Details;;
negligence;;;C2;noun;;Details;;
commander;;;C2;noun;;Details;;
follower;;;C2;noun;;Details;;
founder;;;C2;noun;;Details;;
further;;;C2;verb;;Details;;
craving;;;C2;noun;;Details;;
backing;;;C2;noun;;Details;;
counselling;;;C2;noun;;Details;;
loathing;;;C2;noun;;Details;;
allocation;;SHARE;C2;noun;;Details;;
conclusion;;END;C2;noun;;Details;;
consultation;;MEETING;C2;noun;;Details;;
contradiction;;;C2;noun;;Details;;
direction;;DEVELOPMENT;C2;noun;;Details;;
foundation;;IDEA;C2;noun;;Details;;
fraction;;;C2;noun;;Details;;
imitation;;;C2;noun;;Details;;
inspiration;;GOOD IDEA;C2;noun;;Details;;
institution;;TRADITION;C2;noun;;Details;;
action;;FIGHTING;C2;noun;;Details;;
anticipation;;WAITING;C2;noun;;Details;;
consideration;;KINDNESS;C2;noun;;Details;;
distinction;;QUALITY;C2;noun;;Details;;
elimination;;;C2;noun;;Details;;
erosion;;NEGATIVE EFFECT;C2;noun;;Details;;
implementation;;;C2;noun;;Details;;
isolation;;LONELY;C2;noun;;Details;;
occupation;;CONTROL;C2;noun;;Details;;
accumulation;;;C2;noun;;Details;;
application;;USE;C2;noun;;Details;;
association;;CONNECTION;C2;noun;;Details;;
classification;;;C2;noun;;Details;;
concentration;;LARGE AMOUNT;C2;noun;;Details;;
conception;;;C2;noun;;Details;;
confrontation;;;C2;noun;;Details;;
conversion;;;C2;noun;;Details;;
hesitation;;;C2;noun;;Details;;
illustration;;EXPLAIN;C2;noun;;Details;;
inclination;;;C2;noun;;Details;;
indication;;INTENTION;C2;noun;;Details;;
inspection;;EXAMINATION;C2;noun;;Details;;
intuition;;;C2;noun;;Details;;
invasion;;LARGE NUMBERS;C2;noun;;Details;;
medication;;;C2;noun;;Details;;
invitation;;CAUSE RESULT;C2;noun;;Details;;
materialism;;;C2;noun;;Details;;
charity;;KINDNESS;C2;noun;;Details;;
complexity;;;C2;noun;;Details;;
continuity;;;C2;noun;;Details;;
credibility;;;C2;noun;;Details;;
individuality;;;C2;noun;;Details;;
intensity;;;C2;noun;;Details;;
mediocrity;;;C2;noun;;Details;;
normality;;;C2;noun;;Details;;
ambiguity;;;C2;noun;;Details;;
explosive;;;C2;noun;;Details;;
maximize;;;C2;verb;;Details;;
development;;START;C2;noun;;Details;;
judgment;;ABILITY;C2;noun;;Details;;
attachment;;FEELING;C2;noun;;Details;;
blindness;;NOT NOTICING;C2;noun;;Details;;
clumsiness;;;C2;noun;;Details;;
craziness;;;C2;noun;;Details;;
forgiveness;;;C2;noun;;Details;;
goodness;;;C2;noun;;Details;;
homelessness;;;C2;noun;;Details;;
anchor;;BOAT;C2;noun;;Details;;
indicator;;;C2;noun;;Details;;
enquiry;;OFFICIAL PROCESS;C2;noun;;Details;;
bomber;;AIRCRAFT;C2;noun;;Details;;
alcoholic;;;C2;noun;;Details;;
advocate;;;C2;noun;;Details;;
agenda;;IMPORTANT SUBJECTS;C2;noun;;Details;;
ally;;COUNTRY;C2;noun;;Details;;
arch;;;C2;noun;;Details;;
arm;;CHAIR;C2;noun;;Details;;
assembly;;GROUP;C2;noun;;Details;;
attribute;;;C2;noun;;Details;;
avenue;;POSSIBILITY;C2;noun;;Details;;
band;;CIRCLE;C2;noun;;Details;;
bar;;PREVENTING SUCCESS;C2;noun;;Details;;
barn;;;C2;noun;;Details;;
base;;MAIN PLACE;C2;noun;;Details;;
battle;;ARGUMENT;C2;noun;;Details;;
bet;;RISK;C2;noun;;Details;;
blanket;;LAYER;C2;noun;;Details;;
blend;;;C2;noun;;Details;;
block;;STOP PROGRESS;C2;noun;;Details;;
breakdown;;EXPLANATION;C2;noun;;Details;;
bridge;;CONNECTION;C2;noun;;Details;;
buzz;;SOUND;C2;noun;;Details;;
care;;WORRY;C2;noun;;Details;;
ceiling;;AMOUNT;C2;noun;;Details;;
certainty;;SURE THING;C2;noun;;Details;;
challenge;;DISAGREEMENT;C2;noun;;Details;;
champion;;SUPPORT;C2;noun;;Details;;
charm;;LUCKY;C2;noun;;Details;;
chest;;BOX;C2;noun;;Details;;
chill;;FEAR;C2;noun;;Details;;
circuit;;TRACK;C2;noun;;Details;;
civilian;;;C2;noun;;Details;;
clash;;FIGHT;C2;noun;;Details;;
climate;;SITUATION;C2;noun;;Details;;
comeback;;;C2;noun;;Details;;
compliment;;PRAISE;C2;noun;;Details;;
constraint;;;C2;noun;;Details;;
contact;;EYE;C2;noun;;Details;;
corner;;PLACE;C2;noun;;Details;;
count;;NUMBER;C2;noun;;Details;;
crack;;LINE;C2;noun;;Details;;
crackdown;;;C2;noun;;Details;;
creep;;UNPLEASANT;C2;noun;;Details;;
cricket;;INSECT;C2;noun;;Details;;
cushion;;PROTECTION;C2;noun;;Details;;
deposit;;SUBSTANCE;C2;noun;;Details;;
descendant;;;C2;noun;;Details;;
deterrent;;;C2;noun;;Details;;
drain;;FOR WATER;C2;noun;;Details;;
echo;;SOUND;C2;noun;;Details;;
embrace;;;C2;noun;;Details;;
enterprise;;PLAN;C2;noun;;Details;;
entity;;;C2;noun;;Details;;
entrance;;COMING IN;C2;noun;;Details;;
feat;;;C2;noun;;Details;;
field;;CONTAINING SUBSTANCE;C2;noun;;Details;;
filter;;;C2;noun;;Details;;
fireplace;;;C2;noun;;Details;;
flash;;SUDDEN EXPERIENCE;C2;noun;;Details;;
flood;;AMOUNT;C2;noun;;Details;;
forgery;;COPY;C2;noun;;Details;;
framework;;;C2;noun;;Details;;
fraud;;TRICK;C2;noun;;Details;;
frown;;;C2;noun;;Details;;
future;;WHAT WILL HAPPEN;C2;noun;;Details;;
gamble;;;C2;noun;;Details;;
gasp;;;C2;noun;;Details;;
gulf;;;C2;noun;;Details;;
head;;FRONT/TOP;C2;noun;;Details;;
heir;;;C2;noun;;Details;;
hierarchy;;;C2;noun;;Details;;
horizon;;;C2;noun;;Details;;
horn;;MUSIC;C2;noun;;Details;;
host;;TELEVISION;C2;noun;;Details;;
hostage;;PERSON;C2;noun;;Details;;
hypothesis;;;C2;noun;;Details;;
idol;;GOD;C2;noun;;Details;;
illusion;;DIFFERENT;C2;noun;;Details;;
image;;IDEA;C2;noun;;Details;;
impulse;;FEELING;C2;noun;;Details;;
individual;;SPECIAL;C2;noun;;Details;;
instruction;;TELL;C2;noun;;Details;;
instrument;;FOR ACHIEVING SOMETHING;C2;noun;;Details;;
journal;;BOOK;C2;noun;;Details;;
knot;;FASTENING;C2;noun;;Details;;
landmark;;EVENT;C2;noun;;Details;;
law;;ALWAYS TRUE;C2;noun;;Details;;
leak;;SECRET;C2;noun;;Details;;
leap;;CHANGE;C2;noun;;Details;;
lifespan;;;C2;noun;;Details;;
line;;ROW;C2;noun;;Details;;
lump;;PIECE;C2;noun;;Details;;
market;;BUSINESS;C2;noun;;Details;;
memorial;;;C2;noun;;Details;;
millennium;;;C2;noun;;Details;;
missile;;;C2;noun;;Details;;
model;;EXAMPLE;C2;noun;;Details;;
murmur;;;C2;noun;;Details;;
novelty;;NEW THING;C2;noun;;Details;;
odour;;;C2;noun;;Details;;
age;;OLD;C2;noun;;Details;;
alarm;;WORRY;C2;noun;;Details;;
artificial intelligence;;;C2;noun;;Details;;
awe;;;C2;noun;;Details;;
baggage;;FEELINGS;C2;noun;;Details;;
blackmail;;;C2;noun;;Details;;
blood;;FAMILY ORIGIN;C2;noun;;Details;;
bribery;;;C2;noun;;Details;;
bureaucracy;;RULES;C2;noun;;Details;;
cause;;REASON FOR;C2;noun;;Details;;
colour;;INTEREST;C2;noun;;Details;;
comfort;;ENOUGH MONEY;C2;noun;;Details;;
command;;CONTROL;C2;noun;;Details;;
cutlery;;;C2;noun;;Details;;
decay;;;C2;noun;;Details;;
dependence;;;C2;noun;;Details;;
depth;;AMOUNT;C2;noun;;Details;;
desperation;;;C2;noun;;Details;;
discretion;;;C2;noun;;Details;;
dismay;;;C2;noun;;Details;;
distress;;DANGER;C2;noun;;Details;;
DNA;;;C2;noun;;Details;;
doom;;;C2;noun;;Details;;
evidence;;LAW;C2;noun;;Details;;
fever;;EXCITEMENT;C2;noun;;Details;;
fire;;SHOOTING;C2;noun;;Details;;
flair;;STYLE;C2;noun;;Details;;
focus;;;C2;noun;;Details;;
genius;;QUALITY;C2;noun;;Details;;
glue;;;C2;noun;;Details;;
good;;MORALLY RIGHT;C2;noun;;Details;;
grace;;POLITENESS;C2;noun;;Details;;
heritage;;;C2;noun;;Details;;
infancy;;;C2;noun;;Details;;
likelihood;;;C2;noun;;Details;;
linen;;CLOTH;C2;noun;;Details;;
lure;;;C2;noun;;Details;;
matter;;TYPE OF THING;C2;noun;;Details;;
momentum;;;C2;noun;;Details;;
morale;;;C2;noun;;Details;;
nostalgia;;;C2;noun;;Details;;
analogy;;;C2;noun;;Details;;
bias;;;C2;noun;;Details;;
burial;;;C2;noun;;Details;;
cargo;;;C2;noun;;Details;;
catastrophe;;;C2;noun;;Details;;
conscience;;;C2;noun;;Details;;
deception;;;C2;noun;;Details;;
deduction;;FACT;C2;noun;;Details;;
deficiency;;NOT ENOUGH;C2;noun;;Details;;
denial;;;C2;noun;;Details;;
deprivation;;;C2;noun;;Details;;
drought;;;C2;noun;;Details;;
endeavour;;;C2;noun;;Details;;
famine;;;C2;noun;;Details;;
fluid;;;C2;noun;;Details;;
fragrance;;;C2;noun;;Details;;
gain;;SOMETHING OBTAINED;C2;noun;;Details;;
guarantee;;PROMISE;C2;noun;;Details;;
incentive;;;C2;noun;;Details;;
instinct;;;C2;noun;;Details;;
intellect;;;C2;noun;;Details;;
interest;;ADVANTAGE;C2;noun;;Details;;
justification;;;C2;noun;;Details;;
memory;;MIND;C2;noun;;Details;;
merger;;;C2;noun;;Details;;
mishap;;;C2;noun;;Details;;
monopoly;;;C2;noun;;Details;;
muddle;;;C2;noun;;Details;;
grounds;;REASON;C2;noun;;Details;;
act;;FALSE BEHAVIOUR;C2;noun;;Details;;
air;;QUALITY;C2;noun;;Details;;
content;;AMOUNT;C2;noun;;Details;;
course;;DEVELOPMENT;C2;noun;;Details;;
film;;LAYER;C2;noun;;Details;;
flavour;;QUALITY;C2;noun;;Details;;
glow;;LIGHT;C2;noun;;Details;;
grasp;;UNDERSTAND;C2;noun;;Details;;
loss;;DISADVANTAGE;C2;noun;;Details;;
match;;SUITABLE;C2;noun;;Details;;
appeal;;FORMALLY ASK;C2;verb;;Details;;
bubble;;LIQUID;C2;verb;;Details;;
coincide;;HAPPEN TOGETHER;C2;verb;;Details;;
collapse;;FAIL;C2;verb;;Details;;
consent;;;C2;verb;;Details;;
contrast;;DIFFERENCE;C2;verb;;Details;;
crawl;;INSECT;C2;verb;;Details;;
develop;;HAPPEN;C2;verb;;Details;;
drag;;TIME;C2;verb;;Details;;
drift;;SITUATION;C2;verb;;Details;;
experiment;;DO TESTS;C2;verb;;Details;;
expire;;;C2;verb;;Details;;
fall;;BE DEFEATED;C2;verb;;Details;;
flourish;;;C2;verb;;Details;;
fluctuate;;;C2;verb;;Details;;
gesture;;;C2;verb;;Details;;
hang;;IN AIR;C2;verb;;Details;;
hop;;ONE FOOT;C2;verb;;Details;;
lecture;;;C2;verb;;Details;;
lie;;RESPONSIBILITY/BLAME;C2;verb;;Details;;
linger;;;C2;verb;;Details;;
live;;STAY ALIVE;C2;verb;;Details;;
loom;;APPEAR;C2;verb;;Details;;
alert;;;C2;verb;;Details;;
allow;;NOT PREVENT;C2;verb;;Details;;
amend;;;C2;verb;;Details;;
appreciate;;UNDERSTAND;C2;verb;;Details;;
arouse;;;C2;verb;;Details;;
assemble;;BUILD;C2;verb;;Details;;
attach;;INCLUDE;C2;verb;;Details;;
back;;SUPPORT;C2;verb;;Details;;
bind;;TIE;C2;verb;;Details;;
boast;;HAVE;C2;verb;;Details;;
carry;;HAVE;C2;verb;;Details;;
chase;;TRY;C2;verb;;Details;;
cloud;;;C2;verb;;Details;;
commemorate;;;C2;verb;;Details;;
commit;;DECISION;C2;verb;;Details;;
conceal;;;C2;verb;;Details;;
confine;;;C2;verb;;Details;;
confront;;ACCUSE;C2;verb;;Details;;
connect;;INVOLVE;C2;verb;;Details;;
constrain;;;C2;verb;;Details;;
contain;;EMOTION;C2;verb;;Details;;
contemplate;;;C2;verb;;Details;;
contradict;;DIFFERENT;C2;verb;;Details;;
crave;;;C2;verb;;Details;;
cultivate;;DEVELOP;C2;verb;;Details;;
curb;;;C2;verb;;Details;;
dazzle;;EXTREMELY GOOD;C2;verb;;Details;;
decide;;RESULT;C2;verb;;Details;;
deduce;;;C2;verb;;Details;;
defy;;;C2;verb;;Details;;
demolish;;PROVE WRONG;C2;verb;;Details;;
demonstrate;;EXPRESS;C2;verb;;Details;;
depict;;;C2;verb;;Details;;
devise;;;C2;verb;;Details;;
differentiate;;MAKE DIFFERENT;C2;verb;;Details;;
disguise;;HIDE;C2;verb;;Details;;
display;;FEELING;C2;verb;;Details;;
disturb;;UPSET;C2;verb;;Details;;
dread;;;C2;verb;;Details;;
drive;;MAKE WORK;C2;verb;;Details;;
earn;;DESERVE;C2;verb;;Details;;
embarrass;;;C2;verb;;Details;;
embody;;;C2;verb;;Details;;
emit;;;C2;verb;;Details;;
equate;;;C2;verb;;Details;;
escape;;FORGET;C2;verb;;Details;;
execute;;KILL;C2;verb;;Details;;
fancy;;SURPRISE;C2;verb;;Details;;
favour;;;C2;verb;;Details;;
figure;;THINK;C2;verb;;Details;;
formulate;;PLAN;C2;verb;;Details;;
found;;BASE;C2;verb;;Details;;
greet;;REACT;C2;verb;;Details;;
grip;;EMOTION;C2;verb;;Details;;
handle;;TOUCH;C2;verb;;Details;;
hinder;;;C2;verb;;Details;;
incorporate;;;C2;verb;;Details;;
incur;;;C2;verb;;Details;;
indulge;;SOMEONE ELSE;C2;verb;;Details;;
invite;;REACTION;C2;verb;;Details;;
juggle;;;C2;verb;;Details;;
know;;GUESS CORRECTLY;C2;verb;;Details;;
loathe;;;C2;verb;;Details;;
mark;;REPRESENT;C2;verb;;Details;;
meet;;ACHIEVE;C2;verb;;Details;;
moderate;;LESS EXTREME;C2;verb;;Details;;
number;;BE AN AMOUNT;C2;verb;;Details;;
nurse;;;C2;verb;;Details;;
observe;;OBEY;C2;verb;;Details;;
beat;;SOUND;C2;verb;;Details;;
catch;;STICK;C2;verb;;Details;;
circle;;MOVE;C2;verb;;Details;;
compensate;;MAKE BETTER;C2;verb;;Details;;
convert;;RELIGION;C2;verb;;Details;;
cross;;LINE/BORDER;C2;verb;;Details;;
crumble;;;C2;verb;;Details;;
debate;;;C2;verb;;Details;;
deepen;;WORSE/STRONGER;C2;verb;;Details;;
delegate;;;C2;verb;;Details;;
dim;;;C2;verb;;Details;;
dissolve;;BECOME LIQUID;C2;verb;;Details;;
flatten;;;C2;verb;;Details;;
hum;;;C2;verb;;Details;;
intensify;;;C2;verb;;Details;;
judge;;BAD OPINION;C2;verb;;Details;;
lead;;BE THE BEST;C2;verb;;Details;;
loosen;;;C2;verb;;Details;;
mingle;;MIX;C2;verb;;Details;;
chapel;;;C2;noun;;Details;;
assault;;;C2;noun;;Details;;
combat;;;C2;noun;;Details;;
kill;;END;C2;verb;;Details;;
industrious;;;C2;adjective;people: personality;Details;;
bear;;HAVE CHILD;C2;verb;body and health;Details;;
adjacent;;;C2;adjective;describing things;Details;;
humour;;MOOD;C2;noun;people: personality;Details;;
laid-back;;;C2;adjective;people: personality;Details;;
inseparable;;THINGS;C2;adjective;;Details;;
empirical;;;C2;adjective;;Details;;
fraudulent;;;C2;adjective;;Details;;
imperative;;;C2;adjective;;Details;;
handy;;NEAR;C2;adjective;;Details;;
deceased;;DEAD;C2;adjective;;Details;;
due;;BEHAVIOUR;C2;adjective;;Details;;
foremost;;;C2;adjective;;Details;;
indeed;;MORE;C2;adverb;;Details;;
likewise;;;C2;adverb;;Details;;
intent;;PLAN;C2;noun;;Details;;
blue;;SAD;C2;adjective;;Details;;
dead;;QUIET;C2;adjective;;Details;;
miserable;;NOT ENOUGH;C2;adjective;;Details;;
faraway;;LONG DISTANCE;C2;adjective;;Details;;
cast;;LIGHT;C2;verb;;Details;;
incurable;;;C2;adjective;body and health;Details;;
intolerable;;;C2;adjective;describing things;Details;;
irrational;;;C2;adjective;people: personality;Details;;
intolerant;;;C2;adjective;people: personality;Details;;
disrespectful;;;C2;adjective;people: personality;Details;;
injection;;DRUG;C2;noun;body and health;Details;;
