Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;
loss;;MONEY;C1;noun;money;Details;
overdraft;;;C1;noun;money;Details;
saving;;LESS MONEY;C1;noun;money;Details;
sector;;;C1;noun;money;Details;
subsidy;;;C1;noun;money;Details;
cover;;FINANCIAL;C1;noun;money;Details;
interest;;MONEY CHARGED;C1;noun;money;Details;
turnover;;BUSINESS;C1;noun;money;Details;
expenses;;;C1;noun;money;Details;
compensate;;MONEY;C1;verb;money;Details;
tax;;;C1;verb;money;Details;
borrow;;MONEY;C1;verb;money;Details;
habitat;;;C1;noun;natural world;Details;
iceberg;;ICE;C1;noun;natural world;Details;
log;;;C1;noun;natural world;Details;
palm;;TREE;C1;noun;natural world;Details;
spring;;WATER;C1;noun;natural world;Details;
state;;COUNTRY;C1;noun;natural world;Details;
stretch;;;C1;noun;natural world;Details;
straw;;;C1;noun;natural world;Details;
tobacco;;;C1;noun;natural world;Details;
launch;;START OF ACTIVITY;C1;noun;people: actions;Details;
march;;;C1;noun;people: actions;Details;
move;;ACTION;C1;noun;people: actions;Details;
capture;;;C1;noun;people: actions;Details;
consumption;;;C1;noun;people: actions;Details;
escape;;GETTING OUT;C1;noun;people: actions;Details;
campaign;;;C1;verb;people: actions;Details;
opt;;;C1;verb;people: actions;Details;
pose;;BE STILL;C1;verb;people: actions;Details;
consume;;USE RESOURCE;C1;verb;people: actions;Details;
grasp;;HOLD;C1;verb;people: actions;Details;
imitate;;;C1;verb;people: actions;Details;
impose;;RULE/TAX, ETC.;C1;verb;people: actions;Details;
inspect;;;C1;verb;people: actions;Details;
monitor;;;C1;verb;people: actions;Details;
occupy;;CONTROL;C1;verb;people: actions;Details;
omit;;;C1;verb;people: actions;Details;
push;;ENCOURAGE;C1;verb;people: actions;Details;
resist;;FIGHT;C1;verb;people: actions;Details;
restrain;;;C1;verb;people: actions;Details;
restrict;;;C1;verb;people: actions;Details;
sacrifice;;;C1;verb;people: actions;Details;
scan;;READ;C1;verb;people: actions;Details;
shift;;MOVE STH;C1;verb;people: actions;Details;
simplify;;;C1;verb;people: actions;Details;
sow;;;C1;verb;people: actions;Details;
spread;;ARRANGE;C1;verb;people: actions;Details;
total;;;C1;verb;people: actions;Details;
trace;;FIND;C1;verb;people: actions;Details;
flee;;;C1;verb;people: actions;Details;
elegance;;;C1;noun;people: appearance;Details;
race;;PEOPLE;C1;noun;people: appearance;Details;
resemble;;;C1;verb;people: appearance;Details;
bully;;;C1;noun;people: personality;Details;
extrovert;;;C1;noun;people: personality;Details;
legend;;FAME;C1;noun;people: personality;Details;
scar;;MIND;C1;noun;people: personality;Details;
type;;PERSON;C1;noun;people: personality;Details;
control;;CALM;C1;noun;people: personality;Details;
discipline;;SELF CONTROL;C1;noun;people: personality;Details;
distress;;UPSET;C1;noun;people: personality;Details;
drive;;ENERGY;C1;noun;people: personality;Details;
enterprise;;QUALITY;C1;noun;people: personality;Details;
hatred;;;C1;noun;people: personality;Details;
initiative;;ABILITY;C1;noun;people: personality;Details;
self-esteem;;;C1;noun;people: personality;Details;
shame;;BAD FEELING;C1;noun;people: personality;Details;
strength;;BEING BRAVE;C1;noun;people: personality;Details;
corrupt;;;C1;verb;people: personality;Details;
irritate;;;C1;verb;people: personality;Details;
return;;DO THE SAME;C1;verb;people: personality;Details;
declaration;;;C1;noun;politics;Details;
deputy;;;C1;noun;politics;Details;
republic;;;C1;noun;politics;Details;
defence;;MILITARY;C1;noun;politics;Details;
power;;POLITICS;C1;noun;politics;Details;
unit;;PEOPLE;C1;noun;relationships;Details;
rear;;;C1;verb;relationships;Details;
market;;BUYING GROUP;C1;noun;shopping;Details;
stroke;;SWIMMING;C1;noun;shopping;Details;
triumph;;SUCCESS;C1;noun;shopping;Details;
eliminate;;COMPETITION;C1;verb;shopping;Details;
stock;;;C1;verb;shopping;Details;
draw;;SPORT;C1;verb;shopping;Details;
machinery;;;C1;noun;technology;Details;
spam;;;C1;noun;technology;Details;
carriage;;TRAIN;C1;noun;travel;Details;
itinerary;;;C1;noun;travel;Details;
shuttle;;;C1;noun;travel;Details;
tank;;VEHICLE;C1;noun;travel;Details;
diesel;;;C1;noun;travel;Details;
track;;TRAINS;C1;noun;travel;Details;
commute;;;C1;verb;travel;Details;
drop;;TAKE;C1;verb;travel;Details;
bid;;OFFER;C1;noun;work;Details;
counterpart;;;C1;noun;work;Details;
executive;;;C1;noun;work;Details;
perk;;;C1;noun;work;Details;
superior;;;C1;noun;work;Details;
takeover;;;C1;noun;work;Details;
technician;;;C1;noun;work;Details;
trade;;AREA OF BUSINESS;C1;noun;work;Details;
trainee;;;C1;noun;work;Details;
labour;;WORK;C1;noun;work;Details;
service;;WORK;C1;noun;work;Details;
rank;;;C1;noun;work;Details;
personnel;;;C1;noun;work;Details;
appoint;;;C1;verb;work;Details;
practise;;WORK;C1;verb;work;Details;
serve;;WORK;C1;verb;work;Details;
bribe;;;C1;noun;money;Details;
inconvenience;;;C1;noun;;Details;
interference;;SITUATION;C1;noun;;Details;
distraction;;FUN;C1;noun;;Details;
disruption;;;C1;noun;;Details;
integration;;;C1;noun;;Details;
inclusion;;;C1;noun;;Details;
inability;;;C1;noun;;Details;
reorganize;;;C1;verb;;Details;
replacement;;PROCESS;C1;noun;;Details;
redevelopment;;;C1;noun;;Details;
discontent;;;C1;noun;;Details;
discrimination;;;C1;noun;;Details;
displacement;;;C1;noun;;Details;
discomfort;;SITUATION;C1;noun;;Details;
discriminate;;TREAT UNFAIRLY;C1;verb;;Details;
dismiss;;NOT CONSIDER;C1;verb;;Details;
displace;;;C1;verb;;Details;
distort;;;C1;verb;;Details;
inaccuracy;;;C1;noun;;Details;
injustice;;;C1;noun;;Details;
insight;;;C1;noun;;Details;
invade;;PLACE;C1;verb;;Details;
integrate;;;C1;verb;;Details;
interfere;;CAUSE PROBLEMS;C1;verb;;Details;
misfortune;;;C1;noun;;Details;
misuse;;;C1;noun;;Details;
misbehave;;;C1;verb;;Details;
readjust;;SMALL CHANGE;C1;verb;;Details;
recharge;;;C1;verb;;Details;
recreate;;;C1;verb;;Details;
redevelop;;;C1;verb;;Details;
refund;;;C1;verb;;Details;
reinforce;;OPINION;C1;verb;;Details;
restart;;;C1;verb;;Details;
review;;CONSIDER;C1;verb;;Details;
reconsider;;;C1;verb;;Details;
relocate;;;C1;verb;;Details;
rethink;;;C1;verb;;Details;
uncertainty;;;C1;noun;;Details;
unload;;SHIP/AIRCRAFT;C1;verb;;Details;
uncover;;;C1;verb;;Details;
arrival;;NEW PERSON/THING;C1;noun;;Details;
renewal;;AGREEMENT;C1;noun;;Details;
acquaintance;;;C1;noun;;Details;
appliance;;;C1;noun;;Details;
annoyance;;;C1;noun;;Details;
relevance;;;C1;noun;;Details;
significance;;;C1;noun;;Details;
acceptance;;;C1;noun;;Details;
attendance;;NUMBER;C1;noun;;Details;
disturbance;;INTERRUPTION;C1;noun;;Details;
contestant;;;C1;noun;;Details;
participant;;;C1;noun;;Details;
convenience;;HELPFUL THING;C1;noun;;Details;
existence;;LIFE;C1;noun;;Details;
occurrence;;;C1;noun;;Details;
competence;;;C1;noun;;Details;
innocence;;NOT GUILTY;C1;noun;;Details;
listener;;;C1;noun;;Details;
pensioner;;;C1;noun;;Details;
producer;;GOODS/FOOD;C1;noun;;Details;
programmer;;;C1;noun;;Details;
provider;;;C1;noun;;Details;
ruler;;LEADER;C1;noun;;Details;
crossing;;TRIP BY WATER;C1;noun;;Details;
shortcoming;;;C1;noun;;Details;
housing;;;C1;noun;;Details;
mining;;;C1;noun;;Details;
networking;;;C1;noun;;Details;
planning;;BUILDINGS;C1;noun;;Details;
accusation;;;C1;noun;;Details;
assumption;;;C1;noun;;Details;
audition;;;C1;noun;;Details;
complication;;DIFFICULTY;C1;noun;;Details;
condition;;AGREEMENT;C1;noun;;Details;
convention;;MEETING;C1;noun;;Details;
equation;;;C1;noun;;Details;
explosion;;INCREASE;C1;noun;;Details;
foundation;;ORGANIZATION;C1;noun;;Details;
motivation;;REASON;C1;noun;;Details;
negotiation;;;C1;noun;;Details;
observation;;REMARK;C1;noun;;Details;
precaution;;;C1;noun;;Details;
projection;;CALCULATION;C1;noun;;Details;
proposition;;;C1;noun;;Details;
administration;;;C1;noun;;Details;
aggression;;;C1;noun;;Details;
caution;;CARE;C1;noun;;Details;
civilization;;WAY OF LIFE;C1;noun;;Details;
completion;;;C1;noun;;Details;
conservation;;NOT WASTE;C1;noun;;Details;
corruption;;BAD BEHAVIOUR;C1;noun;;Details;
cultivation;;;C1;noun;;Details;
definition;;IMAGE;C1;noun;;Details;
direction;;CONTROL;C1;noun;;Details;
distribution;;SUPPLYING;C1;noun;;Details;
domination;;;C1;noun;;Details;
erosion;;PHYSICAL DAMAGE;C1;noun;;Details;
extinction;;;C1;noun;;Details;
industrialization;;;C1;noun;;Details;
isolation;;SEPARATE;C1;noun;;Details;
opposition;;DISAGREEMENT;C1;noun;;Details;
organization;;ARRANGEMENT;C1;noun;;Details;
perfection;;;C1;noun;;Details;
preservation;;;C1;noun;;Details;
radiation;;;C1;noun;;Details;
regulation;;CONTROL;C1;noun;;Details;
renovation;;;C1;noun;;Details;
speculation;;;C1;noun;;Details;
adaptation;;;C1;noun;;Details;
alteration;;;C1;noun;;Details;
auction;;;C1;noun;;Details;
cancellation;;;C1;noun;;Details;
collaboration;;;C1;noun;;Details;
emission;;;C1;noun;;Details;
evaluation;;;C1;noun;;Details;
exaggeration;;;C1;noun;;Details;
exploration;;;C1;noun;;Details;
generalization;;;C1;noun;;Details;
indication;;EXIST;C1;noun;;Details;
innovation;;;C1;noun;;Details;
inspection;;OFFICIAL;C1;noun;;Details;
liberation;;;C1;noun;;Details;
limitation;;RULE;C1;noun;;Details;
migration;;;C1;noun;;Details;
modification;;;C1;noun;;Details;
nomination;;;C1;noun;;Details;
progression;;;C1;noun;;Details;
provision;;;C1;noun;;Details;
restriction;;LIMIT;C1;noun;;Details;
simulation;;;C1;noun;;Details;
substitution;;;C1;noun;;Details;
transaction;;;C1;noun;;Details;
transformation;;;C1;noun;;Details;
introduction;;FIRST EXPERIENCE;C1;noun;;Details;
realization;;NOTICING;C1;noun;;Details;
mechanism;;PART OF EQUIPMENT;C1;noun;;Details;
environmentalist;;;C1;noun;;Details;
authority;;OFFICIAL GROUP;C1;noun;;Details;
mentality;;;C1;noun;;Details;
minority;;RACE;C1;noun;;Details;
necessity;;SOMETHING NEEDED;C1;noun;;Details;
speciality;;;C1;noun;;Details;
humanity;;ALL PEOPLE;C1;noun;;Details;
liability;;RESPONSIBILITY;C1;noun;;Details;
productivity;;;C1;noun;;Details;
purity;;;C1;noun;;Details;
rarity;;;C1;noun;;Details;
reliability;;;C1;noun;;Details;
security;;SAFE SITUATION;C1;noun;;Details;
simplicity;;;C1;noun;;Details;
solidarity;;;C1;noun;;Details;
stability;;;C1;noun;;Details;
suitability;;;C1;noun;;Details;
unity;;;C1;noun;;Details;
capability;;;C1;noun;;Details;
probability;;;C1;noun;;Details;
generalize;;;C1;verb;;Details;
authorize;;;C1;verb;;Details;
minimize;;;C1;verb;;Details;
privatize;;;C1;verb;;Details;
recognize;;SHOW RESPECT;C1;verb;;Details;
movement;;GROUP;C1;noun;;Details;
settlement;;AGREEMENT;C1;noun;;Details;
harassment;;;C1;noun;;Details;
recruitment;;;C1;noun;;Details;
amendment;;;C1;noun;;Details;
awareness;;;C1;noun;;Details;
closeness;;NEAR;C1;noun;;Details;
coolness;;COLD;C1;noun;;Details;
effectiveness;;;C1;noun;;Details;
fairness;;;C1;noun;;Details;
loneliness;;;C1;noun;;Details;
readiness;;WILLING;C1;noun;;Details;
richness;;;C1;noun;;Details;
consciousness;;AWARE;C1;noun;;Details;
administrator;;;C1;noun;;Details;
emperor;;;C1;noun;;Details;
ownership;;;C1;noun;;Details;
hardship;;;C1;noun;;Details;
readership;;;C1;noun;;Details;
discovery;;THING/PERSON;C1;noun;;Details;
accessory;;;C1;noun;;Details;
agency;;ORGANIZATION;C1;noun;;Details;
agenda;;MEETING;C1;noun;;Details;
ally;;PERSON;C1;noun;;Details;
amateur;;HOBBY;C1;noun;;Details;
asset;;USEFUL;C1;noun;;Details;
assignment;;;C1;noun;;Details;
avenue;;ROAD;C1;noun;;Details;
basis;;REASON;C1;noun;;Details;
boundary;;LINE;C1;noun;;Details;
bracket;;GROUP;C1;noun;;Details;
brain;;INTELLIGENCE;C1;noun;;Details;
break;;DAMAGE;C1;noun;;Details;
breakdown;;FAILURE;C1;noun;;Details;
bubble;;;C1;noun;;Details;
burden;;;C1;noun;;Details;
cause;;PRINCIPLE;C1;noun;;Details;
charge;;CRIME;C1;noun;;Details;
chore;;;C1;noun;;Details;
clutch;;ENGINE;C1;noun;;Details;
code;;RULES;C1;noun;;Details;
column;;NUMBERS/WORDS;C1;noun;;Details;
comfort;;PLEASANT THING;C1;noun;;Details;
command;;COMPUTER;C1;noun;;Details;
commodity;;;C1;noun;;Details;
complaint;;ANNOYING THING;C1;noun;;Details;
component;;MACHINE;C1;noun;;Details;
criterion;;;C1;noun;;Details;
critic;;NOT APPROVE;C1;noun;;Details;
cut;;REDUCTION;C1;noun;;Details;
cutback;;;C1;noun;;Details;
debut;;;C1;noun;;Details;
defect;;;C1;noun;;Details;
deficit;;;C1;noun;;Details;
delegate;;;C1;noun;;Details;
deposit;;BANK;C1;noun;;Details;
design;;DRAWING;C1;noun;;Details;
destiny;;FUTURE;C1;noun;;Details;
developer;;PRODUCTS;C1;noun;;Details;
directory;;;C1;noun;;Details;
divide;;;C1;noun;;Details;
dock;;;C1;noun;;Details;
domain;;;C1;noun;;Details;
draught;;;C1;noun;;Details;
drawback;;;C1;noun;;Details;
dump;;WASTE;C1;noun;;Details;
empire;;COUNTRIES;C1;noun;;Details;
equivalent;;;C1;noun;;Details;
exhibit;;;C1;noun;;Details;
exterior;;;C1;noun;;Details;
fair;;SHOW OF GOODS/SERVICES;C1;noun;;Details;
figure;;AMOUNT;C1;noun;;Details;
flaw;;;C1;noun;;Details;
fleet;;SHIPS;C1;noun;;Details;
footstep;;;C1;noun;;Details;
format;;;C1;noun;;Details;
formula;;METHOD;C1;noun;;Details;
function;;EVENT;C1;noun;;Details;
gadget;;;C1;noun;;Details;
gathering;;;C1;noun;;Details;
genius;;PERSON;C1;noun;;Details;
gerund;;;C1;noun;;Details;
gesture;;MOVEMENT;C1;noun;;Details;
giant;;IMAGINARY MAN;C1;noun;;Details;
gift;;ABILITY;C1;noun;;Details;
glimpse;;;C1;noun;;Details;
grill;;OVER FIRE;C1;noun;;Details;
hazard;;;C1;noun;;Details;
heading;;;C1;noun;;Details;
historian;;;C1;noun;;Details;
home;;CARE;C1;noun;;Details;
idol;;PERSON;C1;noun;;Details;
implication;;EFFECT;C1;noun;;Details;
instance;;EXAMPLE;C1;noun;;Details;
instrument;;TOOL;C1;noun;;Details;
jam;;BLOCK;C1;noun;;Details;
journal;;MAGAZINE;C1;noun;;Details;
king;;BEST PERSON;C1;noun;;Details;
knob;;;C1;noun;;Details;
ladder;;STAGES;C1;noun;;Details;
lawn;;;C1;noun;;Details;
layout;;;C1;noun;;Details;
level;;RANK;C1;noun;;Details;
line;;PRODUCT;C1;noun;;Details;
luxury;;EXPENSIVE THING;C1;noun;;Details;
mat;;;C1;noun;;Details;
ministry;;;C1;noun;;Details;
mode;;;C1;noun;;Details;
myth;;FALSE IDEA;C1;noun;;Details;
nap;;;C1;noun;;Details;
network;;PEOPLE;C1;noun;;Details;
newsletter;;;C1;noun;;Details;
nickname;;;C1;noun;;Details;
norm;;SOCIETY;C1;noun;;Details;
notion;;;C1;noun;;Details;
obstacle;;;C1;noun;;Details;
overview;;DESCRIPTION;C1;noun;;Details;
panel;;PEOPLE;C1;noun;;Details;
peasant;;;C1;noun;;Details;
peer;;;C1;noun;;Details;
perspective;;WAY OF THINKING;C1;noun;;Details;
phenomenon;;;C1;noun;;Details;
philosophy;;WAY OF THINKING;C1;noun;;Details;
policy;;AGREEMENT;C1;noun;;Details;
portion;;PART;C1;noun;;Details;
principle;;IDEA;C1;noun;;Details;
print;;PICTURE;C1;noun;;Details;
privilege;;OPPORTUNITY;C1;noun;;Details;
profile;;PUBLIC IMAGE;C1;noun;;Details;
proportion;;PART OF TOTAL;C1;noun;;Details;
pyramid;;;C1;noun;;Details;
rate;;SPEED;C1;noun;;Details;
ratio;;;C1;noun;;Details;
rectangle;;;C1;noun;;Details;
reign;;;C1;noun;;Details;
riot;;;C1;noun;;Details;
rise;;PAY;C1;noun;;Details;
risk;;SOMETHING BAD;C1;noun;;Details;
rival;;;C1;noun;;Details;
role model;;;C1;noun;;Details;
runway;;;C1;noun;;Details;
sack;;BAG;C1;noun;;Details;
saint;;;C1;noun;;Details;
secretary;;COMMITTEE;C1;noun;;Details;
serial;;;C1;noun;;Details;
setback;;;C1;noun;;Details;
slot;;HOLE;C1;noun;;Details;
source;;PERSON;C1;noun;;Details;
spectrum;;ALL POSSIBILITIES;C1;noun;;Details;
sphere;;;C1;noun;;Details;
spokesman;;;C1;noun;;Details;
spokesperson;;;C1;noun;;Details;
stand;;FOR SELLING/SHOWING;C1;noun;;Details;
star;;BEST;C1;noun;;Details;
statistic;;;C1;noun;;Details;
status symbol;;;C1;noun;;Details;
stereotype;;;C1;noun;;Details;
stroll;;;C1;noun;;Details;
summit;;MOUNTAIN;C1;noun;;Details;
surge;;;C1;noun;;Details;
surgeon;;;C1;noun;;Details;
tactic;;;C1;noun;;Details;
tendency;;;C1;noun;;Details;
thrill;;;C1;noun;;Details;
tip;;END;C1;noun;;Details;
toast;;DRINK;C1;noun;;Details;
token;;LOVE/THANKS;C1;noun;;Details;
tool;;SOMETHING HELPFUL;C1;noun;;Details;
trek;;;C1;noun;;Details;
applause;;;C1;noun;;Details;
archaeology;;;C1;noun;;Details;
brass;;METAL;C1;noun;;Details;
coal;;FUEL;C1;noun;;Details;
consent;;;C1;noun;;Details;
contact;;TOUCH;C1;noun;;Details;
crawl;;SWIMMING;C1;noun;;Details;
daycare;;;C1;noun;;Details;
dedication;;;C1;noun;;Details;
exposure;;;C1;noun;;Details;
friction;;;C1;noun;;Details;
geology;;;C1;noun;;Details;
glamour;;;C1;noun;;Details;
globalization;;;C1;noun;;Details;
glory;;PRAISE;C1;noun;;Details;
grace;;MOVEMENT;C1;noun;;Details;
greed;;;C1;noun;;Details;
hate;;;C1;noun;;Details;
hygiene;;;C1;noun;;Details;
jealousy;;;C1;noun;;Details;
junk mail;;;C1;noun;;Details;
literacy;;;C1;noun;;Details;
logic;;;C1;noun;;Details;
neglect;;;C1;noun;;Details;
nutrition;;;C1;noun;;Details;
office;;JOB;C1;noun;;Details;
ozone;;;C1;noun;;Details;
praise;;;C1;noun;;Details;
prestige;;;C1;noun;;Details;
protein;;;C1;noun;;Details;
retail;;;C1;noun;;Details;
revenue;;;C1;noun;;Details;
rubbish;;NONSENSE;C1;noun;;Details;
safety;;HOW SAFE;C1;noun;;Details;
scope;;AMOUNT;C1;noun;;Details;
slavery;;;C1;noun;;Details;
smog;;;C1;noun;;Details;
solitude;;;C1;noun;;Details;
status;;;C1;noun;;Details;
stress;;IMPORTANCE;C1;noun;;Details;
teamwork;;;C1;noun;;Details;
time;;IN A PLACE;C1;noun;;Details;
tuition;;;C1;noun;;Details;
art;;SKILL;C1;noun;;Details;
context;;LANGUAGE;C1;noun;;Details;
controversy;;;C1;noun;;Details;
deduction;;AMOUNT;C1;noun;;Details;
deficiency;;FAULT;C1;noun;;Details;
density;;;C1;noun;;Details;
fabric;;;C1;noun;;Details;
gain;;INCREASE;C1;noun;;Details;
origin;;COUNTRY/RACE, ETC.;C1;noun;;Details;
paradise;;;C1;noun;;Details;
pressure;;LIQUID/GAS;C1;noun;;Details;
redundancy;;;C1;noun;;Details;
