Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;
listen;;PAY ATTENTION;B1;verb;communication;Details;
add;;SAY MORE;B1;verb;communication;Details;
announce;;;B1;verb;communication;Details;
approve;;AGREE;B1;verb;communication;Details;
blame;;RESPONSIBLE;B1;verb;communication;Details;
convince;;;B1;verb;communication;Details;
date;;WRITE DATE ON;B1;verb;communication;Details;
encourage;;MAKE MORE LIKELY;B1;verb;communication;Details;
get;;TELEPHONE/DOOR;B1;verb;communication;Details;
greet;;WELCOME;B1;verb;communication;Details;
inform;;TELL;B1;verb;communication;Details;
mean;;EXPRESS;B1;verb;communication;Details;
mention;;;B1;verb;communication;Details;
name;;SAY WHAT NAME IS;B1;verb;communication;Details;
persuade;;MAKE SOMEONE AGREE;B1;verb;communication;Details;
predict;;;B1;verb;communication;Details;
pronounce;;;B1;verb;communication;Details;
recommend;;SUITABLE;B1;verb;communication;Details;
remind;;;B1;verb;communication;Details;
repeat;;TELL;B1;verb;communication;Details;
report;;TELL;B1;verb;communication;Details;
say;;TELL;B1;verb;communication;Details;
show;;GIVE INFORMATION;B1;verb;communication;Details;
admit;;;B1;verb;communication;Details;
advise;;;B1;verb;communication;Details;
ask;;REQUEST;B1;verb;communication;Details;
communicate;;SHARE INFORMATION;B1;verb;communication;Details;
confirm;;MAKE ARRANGEMENT CERTAIN;B1;verb;communication;Details;
forgive;;NOT BE ANGRY;B1;verb;communication;Details;
hear;;BE TOLD;B1;verb;communication;Details;
interrupt;;STOP SPEAKING;B1;verb;communication;Details;
learn;;BE TOLD INFORMATION;B1;verb;communication;Details;
refuse;;;B1;verb;communication;Details;
register;;ON A LIST;B1;verb;communication;Details;
ring;;SOUND;B1;verb;communication;Details;
sign;;;B1;verb;communication;Details;
crime;;ILLEGAL ACT;B1;noun;crime;Details;
pirate;;;B1;noun;crime;Details;
prisoner;;PERSON IN PRISON;B1;noun;crime;Details;
rule;;INSTRUCTION;B1;noun;crime;Details;
arrest;;;B1;verb;crime;Details;
amount;;;B1;noun;describing things;Details;
average;;AMOUNT;B1;noun;describing things;Details;
bar;;BLOCK;B1;noun;describing things;Details;
dozen;;;B1;noun;describing things;Details;
drop;;LIQUID;B1;noun;describing things;Details;
extra;;ANOTHER THING;B1;noun;describing things;Details;
foot;;MEASUREMENT;B1;noun;describing things;Details;
inch;;MEASUREMENT;B1;noun;describing things;Details;
limit;;LARGEST POSSIBLE AMOUNT;B1;noun;describing things;Details;
mile;;UNIT;B1;noun;describing things;Details;
millimetre;;;B1;noun;describing things;Details;
pattern;;ARRANGEMENT;B1;noun;describing things;Details;
piece;;SINGLE AMOUNT;B1;noun;describing things;Details;
pile;;HEAP;B1;noun;describing things;Details;
row;;LINE;B1;noun;describing things;Details;
depth;;DISTANCE DOWN;B1;noun;describing things;Details;
distance;;LENGTH;B1;noun;describing things;Details;
height;;HOW FAR UP;B1;noun;describing things;Details;
length;;DISTANCE;B1;noun;describing things;Details;
number;;AMOUNT;B1;noun;describing things;Details;
shape;;PHYSICAL FORM;B1;noun;describing things;Details;
couple;;SOME;B1;noun;describing things;Details;
maximum;;;B1;noun;describing things;Details;
increase;;;B1;verb;describing things;Details;
candidate;;EXAMINATION;B1;noun;education;Details;
curriculum;;;B1;noun;education;Details;
degree;;QUALIFICATION;B1;noun;education;Details;
exchange;;STUDENTS;B1;noun;education;Details;
grade;;;B1;noun;education;Details;
period;;SCHOOL;B1;noun;education;Details;
place;;OPPORTUNITY;B1;noun;education;Details;
primary school;;;B1;noun;education;Details;
secondary school;;;B1;noun;education;Details;
gym;;EXERCISES;B1;noun;education;Details;
science;;TYPE;B1;noun;education;Details;
know;;UNDERSTAND A SUBJECT;B1;verb;education;Details;
canteen;;;B1;noun;food and drink;Details;
frying pan;;;B1;noun;food and drink;Details;
grill;;IN KITCHEN;B1;noun;food and drink;Details;
kettle;;;B1;noun;food and drink;Details;
oven;;;B1;noun;food and drink;Details;
pan;;;B1;noun;food and drink;Details;
pea;;;B1;noun;food and drink;Details;
peanut;;;B1;noun;food and drink;Details;
pepper;;VEGETABLE;B1;noun;food and drink;Details;
pot;;;B1;noun;food and drink;Details;
recipe;;FOOD;B1;noun;food and drink;Details;
roll;;BREAD;B1;noun;food and drink;Details;
saucepan;;;B1;noun;food and drink;Details;
saucer;;;B1;noun;food and drink;Details;
beef;;;B1;noun;food and drink;Details;
broccoli;;;B1;noun;food and drink;Details;
chewing gum;;;B1;noun;food and drink;Details;
corn;;;B1;noun;food and drink;Details;
flour;;;B1;noun;food and drink;Details;
hunger;;NEED FOR FOOD;B1;noun;food and drink;Details;
cabbage;;;B1;noun;food and drink;Details;
coconut;;;B1;noun;food and drink;Details;
courgette;;;B1;noun;food and drink;Details;
cucumber;;;B1;noun;food and drink;Details;
flavour;;TASTE;B1;noun;food and drink;Details;
lettuce;;;B1;noun;food and drink;Details;
peach;;;B1;noun;food and drink;Details;
pie;;;B1;noun;food and drink;Details;
pineapple;;;B1;noun;food and drink;Details;
refreshments;;;B1;noun;food and drink;Details;
barbecue;;;B1;verb;food and drink;Details;
boil;;COOK;B1;verb;food and drink;Details;
freeze;;FOOD;B1;verb;food and drink;Details;
fry;;;B1;verb;food and drink;Details;
area;;PART;B1;noun;homes and buildings;Details;
balcony;;HOUSE ETC.;B1;noun;homes and buildings;Details;
basin;;;B1;noun;homes and buildings;Details;
bin;;;B1;noun;homes and buildings;Details;
block;;BUILDING;B1;noun;homes and buildings;Details;
candle;;;B1;noun;homes and buildings;Details;
chest of drawers;;;B1;noun;homes and buildings;Details;
cottage;;;B1;noun;homes and buildings;Details;
cushion;;CLOTH BAG;B1;noun;homes and buildings;Details;
dustbin;;;B1;noun;homes and buildings;Details;
duvet;;;B1;noun;homes and buildings;Details;
fire station;;;B1;noun;homes and buildings;Details;
frame;;BORDER;B1;noun;homes and buildings;Details;
hut;;;B1;noun;homes and buildings;Details;
iron;;FOR CLOTHES;B1;noun;homes and buildings;Details;
laboratory;;;B1;noun;homes and buildings;Details;
ladder;;EQUIPMENT;B1;noun;homes and buildings;Details;
monument;;BUILDING/PLACE;B1;noun;homes and buildings;Details;
palace;;;B1;noun;homes and buildings;Details;
rug;;;B1;noun;homes and buildings;Details;
ruin;;OLD PARTS;B1;noun;homes and buildings;Details;
sheet;;FOR BED;B1;noun;homes and buildings;Details;
air conditioning;;;B1;noun;homes and buildings;Details;
architecture;;STYLE;B1;noun;homes and buildings;Details;
facilities;;;B1;noun;homes and buildings;Details;
the first floor;;;B1;noun;homes and buildings;Details;
the ground floor;;;B1;noun;homes and buildings;Details;
account;;BANK;B1;noun;money;Details;
bank account;;;B1;noun;money;Details;
coin;;;B1;noun;money;Details;
exchange rate;;;B1;noun;money;Details;
fee;;;B1;noun;money;Details;
grant;;;B1;noun;money;Details;
loan;;MONEY;B1;noun;money;Details;
penny;;;B1;noun;money;Details;
change;;MONEY;B1;noun;money;Details;
pocket money;;;B1;noun;money;Details;
credit;;MONEY;B1;noun;money;Details;
currency;;;B1;noun;money;Details;
bay;;COAST;B1;noun;natural world;Details;
branch;;TREE;B1;noun;natural world;Details;
breeze;;;B1;noun;natural world;Details;
cave;;;B1;noun;natural world;Details;
cliff;;;B1;noun;natural world;Details;
coast;;NEAR SEA;B1;noun;natural world;Details;
continent;;;B1;noun;natural world;Details;
district;;;B1;noun;natural world;Details;
flood;;WATER;B1;noun;natural world;Details;
forecast;;;B1;noun;natural world;Details;
landscape;;;B1;noun;natural world;Details;
leaf;;PLANT;B1;noun;natural world;Details;
peak;;MOUNTAIN TOP;B1;noun;natural world;Details;
planet;;;B1;noun;natural world;Details;
region;;AREA;B1;noun;natural world;Details;
rose;;;B1;noun;natural world;Details;
season;;PART OF YEAR;B1;noun;natural world;Details;
shower;;RAIN;B1;noun;natural world;Details;
heat;;;B1;noun;natural world;Details;
land;;AREA OF GROUND;B1;noun;natural world;Details;
life;;PLANTS/ANIMALS;B1;noun;natural world;Details;
oil;;FUEL;B1;noun;natural world;Details;
sand;;;B1;noun;natural world;Details;
scenery;;;B1;noun;natural world;Details;
shade;;NO SUN;B1;noun;natural world;Details;
climate;;WEATHER;B1;noun;natural world;Details;
jungle;;;B1;noun;natural world;Details;
metal;;;B1;noun;natural world;Details;
rainforest;;;B1;noun;natural world;Details;
rock;;HARD SUBSTANCE;B1;noun;natural world;Details;
shore;;;B1;noun;natural world;Details;
earth;;PLANET;B1;noun;natural world;Details;
ocean;;;B1;noun;natural world;Details;
blow;;WIND;B1;verb;natural world;Details;
pour;;RAIN;B1;verb;natural world;Details;
rise;;SUN/MOON;B1;verb;natural world;Details;
set;;SUN;B1;verb;natural world;Details;
check;;;B1;noun;people: actions;Details;
experiment;;;B1;noun;people: actions;Details;
fight;;PHYSICAL FORCE;B1;noun;people: actions;Details;
hug;;;B1;noun;people: actions;Details;
jump;;;B1;noun;people: actions;Details;
laugh;;;B1;noun;people: actions;Details;
look;;SEE;B1;noun;people: actions;Details;
search;;TRY TO FIND;B1;noun;people: actions;Details;
housework;;;B1;noun;people: actions;Details;
effort;;ATTEMPT;B1;noun;people: actions;Details;
habit;;REGULAR ACTIVITY;B1;noun;people: actions;Details;
rescue;;SAVE;B1;noun;people: actions;Details;
routine;;;B1;noun;people: actions;Details;
behave;;IN A PARTICULAR WAY;B1;verb;people: actions;Details;
escape;;GET AWAY;B1;verb;people: actions;Details;
fish;;;B1;verb;people: actions;Details;
hide;;PERSON;B1;verb;people: actions;Details;
jog;;;B1;verb;people: actions;Details;
knock;;MAKE NOISE;B1;verb;people: actions;Details;
meet;;GROUP;B1;verb;people: actions;Details;
move;;CHANGE PLACE;B1;verb;people: actions;Details;
pause;;PERSON;B1;verb;people: actions;Details;
rest;;RELAX/SLEEP;B1;verb;people: actions;Details;
slip;;SLIDE;B1;verb;people: actions;Details;
achieve;;;B1;verb;people: actions;Details;
attach;;CONNECT;B1;verb;people: actions;Details;
attempt;;;B1;verb;people: actions;Details;
avoid;;STAY AWAY FROM;B1;verb;people: actions;Details;
bury;;DEAD BODY;B1;verb;people: actions;Details;
cancel;;;B1;verb;people: actions;Details;
carry;;HAVE WITH YOU;B1;verb;people: actions;Details;
catch;;STOP ESCAPING;B1;verb;people: actions;Details;
circle;;DRAW;B1;verb;people: actions;Details;
clear;;;B1;verb;people: actions;Details;
collect;;BRING TOGETHER;B1;verb;people: actions;Details;
control;;HAVE POWER OVER;B1;verb;people: actions;Details;
create;;;B1;verb;people: actions;Details;
damage;;;B1;verb;people: actions;Details;
decorate;;MAKE ATTRACTIVE;B1;verb;people: actions;Details;
defend;;PROTECT;B1;verb;people: actions;Details;
design;;PLAN;B1;verb;people: actions;Details;
destroy;;;B1;verb;people: actions;Details;
develop;;MAKE;B1;verb;people: actions;Details;
discover;;;B1;verb;people: actions;Details;
fetch;;;B1;verb;people: actions;Details;
finish;;USE COMPLETELY;B1;verb;people: actions;Details;
fix;;REPAIR;B1;verb;people: actions;Details;
follow;;OBEY;B1;verb;people: actions;Details;
give;;DO;B1;verb;people: actions;Details;
hand;;GIVE;B1;verb;people: actions;Details;
handle;;DEAL WITH;B1;verb;people: actions;Details;
hit;;TOUCH;B1;verb;people: actions;Details;
hold;;KEEP IN POSITION;B1;verb;people: actions;Details;
imagine;;FORM PICTURE;B1;verb;people: actions;Details;
install;;EQUIPMENT;B1;verb;people: actions;Details;
invent;;NEW DESIGN;B1;verb;people: actions;Details;
join;;CONNECT;B1;verb;people: actions;Details;
lift;;;B1;verb;people: actions;Details;
mend;;;B1;verb;people: actions;Details;
miss;;AVOID;B1;verb;people: actions;Details;
offer;;PROVIDE;B1;verb;people: actions;Details;
pass;;GIVE;B1;verb;people: actions;Details;
pick;;CHOOSE;B1;verb;people: actions;Details;
pin;;;B1;verb;people: actions;Details;
postpone;;;B1;verb;people: actions;Details;
prevent;;;B1;verb;people: actions;Details;
produce;;MAKE;B1;verb;people: actions;Details;
prove;;SHOW TRUTH;B1;verb;people: actions;Details;
provide;;;B1;verb;people: actions;Details;
push;;PRESS;B1;verb;people: actions;Details;
quit;;STOP SOMETHING;B1;verb;people: actions;Details;
raise;;LIFT;B1;verb;people: actions;Details;
remove;;TAKE AWAY;B1;verb;people: actions;Details;
save;;MAKE SAFE;B1;verb;people: actions;Details;
select;;;B1;verb;people: actions;Details;
smell;;USE NOSE;B1;verb;people: actions;Details;
approach;;COME CLOSE;B1;verb;people: actions;Details;
arrange;;PLAN;B1;verb;people: actions;Details;
attend;;BE PRESENT;B1;verb;people: actions;Details;
babysit;;;B1;verb;people: actions;Details;
clap;;;B1;verb;people: actions;Details;
connect;;JOIN;B1;verb;people: actions;Details;
continue;;BEGIN AGAIN;B1;verb;people: actions;Details;
deliver;;TAKE;B1;verb;people: actions;Details;
dig;;MOVE SOIL;B1;verb;people: actions;Details;
